Jagdish Swaminathan , Indian , 1928 - 1994 , 22 artworks
JCJ Vanderheyden , Dutch , 1928 - 2012 , 10 artworks
Ward Jackson , American , 1928 - 2004 , 10 artworks
Helen Frankenthaler , American , 1928 - 2011 , 140 artworks
Manuel Felguérez , Mexican , 1928 - 2020 , 15 artworks
Li Yuan-chia , Chinese , 1929 - 1994 , 14 artworks
Horacio Garcia-Rossi , French , 1929 - 2012 , 20 artworks
Jay DeFeo , American , 1929 - 1989 , 18 artworks
Marcia Hafif , American , born 1929 , 16 artworks
Peter Joseph , British , born 1929 , 18 artworks
Se-Ok Suh , South Korean , born 1929 , 16 artworks
Constantin Blendea , Romanian , 1929 - 2012 , 30 artworks
Claude Georges , French , 1929 - 1988 , 17 artworks
Nicholas Krushenick , American , 1929 - 1999 , 17 artworks
Turi Simeti , Italian , born 1929 , 13 artworks
Ion Alin Gheorghiu , Romanian , 1929 - 2001 , 35 artworks
Luis Feito , Spanish , born 1929 , 44 artworks
Rodolfo Arico , Italian , 1930 - 2002 , 31 artworks
Ron Gorchov , American , born 1930 , 16 artworks
Yuri Zlotnikov , Russian , 1930 - 2016 , 42 artworks
Richard Anuszkiewicz , American , born 1930 , 0 artworks
Robert Ryman , American , born 1930 , 40 artworks
Gotthard Graubner , German , 1930 - 2013 , 24 artworks
Frederic Matys Thursz , Americans , 1930 - 1992 , 14 artworks
Enrico Castellani , Italian , born 1930 , 22 artworks
Raoul De Keyser , Belgian , 1930 - 2012 , 32 artworks
Dadamaino , Italian , 1930 - 2004 , 20 artworks
Charlotte Posenenske , Jewish , 1930 - 1985 , 37 artworks
Howard Mehring , American , 1931 - 1978 , 25 artworks
Park Seo-Bo , South Korean , born 1931 , 18 artworks
Cesar Paternosto , Argentinean , born 1931 , 17 artworks
Joan Hernandez Pijuan , Spanish , 1931 - 2005 , 40 artworks
Richard Smith , British , 1931 - 2016 , 20 artworks
Norman Zammitt , American , 1931 - 2007 , 15 artworks
Heinz Mack , German , born 1931 , 16 artworks
Bridget Riley , British , born 1931 , 48 artworks
Antonio Asis , Argentinean , born 1932 , 20 artworks
Rubem Ludolf , Brazilian , 1932 - 2010 , 13 artworks
Dorothea Rockburne , American , born 1932 , 16 artworks
Gebre Kristos Desta , Ethiopian , 1932 - 1981 , 16 artworks
Gerhard Richter , German , born 1932 , 124 artworks
Helmut Sturm , German , 1932 - 2008 , 15 artworks
Ion Nicodim , French , 1932 - 2007 , 8 artworks
Jef Verheyen , Belgian , 1932 - 1984 , 11 artworks
Romul Nutiu , Romanian , 1932 - 2012 , 74 artworks
Howard Hodgkin , British , born 1932 , 20 artworks
Marc Vaux , British , born 1932 , 22 artworks
Claude Tousignant , Canadian , born 1932 , 16 artworks
Walter Leblanc , Belgian , 1932 - 1986 , 15 artworks
Bernard Cohen , British , born 1933 , 24 artworks
Kazuaki Tanahashi , Japanese , born c.1933 , 33 artworks
Fernando García Ponce , Mexican , 1933 - 1987 , 20 artworks
Kuno Gonschior , German , 1933 - 2010 , 15 artworks
Guido Molinari , Canadian , 1933 - 2004 , 26 artworks
Sam Gilliam , American , born 1933 , 75 artworks
Victor Bonato , German , born 1934 , 18 artworks
Charles Bezie , French , born 1934 , 17 artworks
Bernard Aubertin , French , born 1934 , 14 artworks
Yves Gaucher , Canadian , 1934 - 2000 , 33 artworks
Bob Law , British , 1934 - 2004 , 15 artworks
Jeremy Moon , British , 1934 - 1973 , 39 artworks
Gerhard von Graevenitz , German , 1934 - 1983 , 13 artworks
Walter Darby Bannard , American , born 1934 , 28 artworks
John Hoyland , British , 1934 - 2011 , 78 artworks
Tadasky , American , born 1935 , 19 artworks
Robert Huot , American , born 1935 , 19 artworks
Roman Cotosman , American , 1935 - 2006 , 10 artworks
Guy Mees , Flemish , 1935 - 2003 , 15 artworks
Ha Chong-Hyun , South Korean , born 1935 , 10 artworks
Agostino Bonalumi , Italian , born 1935 , 29 artworks
Jerry W. McDaniel , American , born 1935 , 11 artworks
Claude Viallat , French , born 1936 , 21 artworks
Constantin Flondor , Romanian , born 1936 , 54 artworks
Lee Ufan , Japanese , born 1936 , 19 artworks
Leo Valledor , American , 1936 - 1989 , 19 artworks
Giorgio Griffa , Italian , born 1936 , 16 artworks
Joachim Bandau , German , born 1936 , 19 artworks
Frank Stella , American , born 1936 , 123 artworks
Edward Avedisian , American , 1936 - 2007 , 28 artworks
Rochelle Blumenfeld , American , born 1936 , 23 artworks
Doug Ohlson , American , 1936 - 2010 , 24 artworks
Monique Orsini , French , born 1937 , 36 artworks
Ronald Davis , American , born 1937 , 17 artworks
Joe Goode , American , born 1937 , 26 artworks
Matsutani , Japanese , born 1937 , 27 artworks
Nasreen Mohamedi , Indian , 1937 - 1990 , 27 artworks
Niele Toroni , French , born 1937 , 11 artworks
Larry Zox , American , 1937 - 2006 , 47 artworks
Grazia Varisco , Italian , born 1937 , 21 artworks
Robert Mangold , American , born 1937 , 37 artworks
Tess Jaray , British , born 1937 , 18 artworks
Pino Pinelli , Italian , born 1938 , 19 artworks
Michel Parmentier , French , 1938 - 2000 , 10 artworks
Pat Steir , American , born 1938 , 14 artworks
Angelo de Sousa , Portuguese , 1938 - 2011 , 21 artworks
Daniel Buren , French , born 1938 , 16 artworks
Mark Lancaster , British , born 1938 , 19 artworks
Eduardo Nery , Portuguese , 1938 - 2013 , 40 artworks
Brice Marden , American , born 1938 , 124 artworks
Jan Groth , Norwegian , born 1938 , 15 artworks
Akkitham Narayanan , Indian , born 1939 , 17 artworks
Andre-Pierre Arnal , French , born 1939 , 58 artworks
Rafa Nasiri , Iraqi , born 1940 , 18 artworks
Imi Knoebel , German , born 1940 , 15 artworks
Paolo Scheggi , Italian , 1940 - 1971 , 27 artworks
Ettore Spalletti , Italian , born 1940 , 19 artworks
Phil Sims , American , born 1940 , 15 artworks
Robert Swain , American , born 1940 , 10 artworks
Pat Lipsky , American , born 1941 , 30 artworks
Claude Rutault , French , born 1941 , 21 artworks
Richard Tuttle , American , born 1941 , 45 artworks
Silviu Oravitzan , Romanian , born 1941 , 21 artworks
Daan Lemaire , Dutch , born 1942 , 15 artworks
Gunter Umberg , German , born 1942 , 10 artworks
Blinky Palermo , German , 1943 - 1977 , 23 artworks
Joseph Marioni , American , born 1943 , 16 artworks
Florin Maxa , Romanian , born 1943 , 16 artworks
Francois Rouan , French , born 1943 , 11 artworks
Olivier Mosset , Swiss , born 1944 , 17 artworks
Soledad Sevilla , Spanish , born 1944 , 35 artworks
Helmut Federle , Swiss , born 1944 , 11 artworks
Louis Cane , French , born 1945 , 17 artworks
Mary Corse , American , born 1945 , 15 artworks
Ion Pantilie , Romanian , born 1945 , 10 artworks
Sean Scully , American , born 1945 , 30 artworks
Antonio Palolo , Portuguese , 1946 - 2000 , 35 artworks
Stanley Whitney , American , born 1946 , 12 artworks
Jean-Francois Dubreuil , French , born 1946 , 10 artworks
Gary Wragg , British , born 1946 , 10 artworks
Harriet Korman , American , born 1947 , 11 artworks
Ronnie Landfield , American , born 1947 , 150 artworks
Tiberiy Szilvashi , Ukrainian , born 1947 , 51 artworks
Stephen Mueller , American , 1947 - 2011 , 10 artworks
Requena Nozal , Spanish , born 1947 , 36 artworks
Alan Charlton , British , born 1948 , 11 artworks
Gregg Renfrow , American , born 1948 , 12 artworks
Rudolf de Crignis , American , 1948 - 2006 , 24 artworks
Luciano Bartolini , Italian , 1948 - 1994 , 45 artworks
Roger Weik , American , born 1949 , 514 artworks
Georges Troubat , French , born 1951 , 12 artworks
Gerwald Rockenschaub , Austrian , born 1952 , 15 artworks
Peter Halley , American , born 1953 , 15 artworks
